month,ret_1m,ret_3m,ret_6m,ret_12m,vol_3m,vol_6m,ma3_dev,ma6_dev,ma12_dev,momentum,trend,reversal,pe,ps,pb,ev_to_mc,revenue_growth_yoy,net_income_growth_yoy,ocf_growth_yoy,liabilities_to_assets,asset_growth_yoy,target_return
2020-05-01,0.40957007608705887,0.868921321098975,0.8600834809434357,2.4433575180226565,0.21079669842541499,0.1930617336852606,0.3343754667129475,0.548155643046166,0.8077859569627874,0.4505134048563768,0.8825311097591135,-0.40957007608705887,0.0,0.0,0.0,-0.1063552213465041,0.4391123038701894,1.193807024308359,-0.6325484318493881,0.7150127570847047,0.5301552022029672,0.2836846440697782
2020-06-01,0.2836846440697782,1.382459016998585,1.2696984664198836,3.1609306912714823,0.06527421073944681,0.19931478803678518,0.2866349766338745,0.6766715965558134,1.0233749474552636,0.9860138223501054,0.9633065731896879,-0.2836846440697782,0.0,0.0,0.0,-0.06708836738153978,0.4391123038701894,1.193807024308359,-0.6325484318493881,0.7150127570847047,0.5301552022029672,0.06943158524844306
2020-07-01,0.06943158524844306,0.9350759893565765,1.6064736057219302,3.1221375392905255,0.17197175550966068,0.1738617793207004,0.12633432885089113,0.5141852306855763,0.9038402237884611,1.5370420204734871,0.6405195595364674,-0.06943158524844306,0.0,0.0,0.0,-0.06337894323628224,0.4391123038701894,1.193807024308359,-0.6325484318493881,0.7150127570847047,0.5301552022029672,-0.031154693970979475
2020-08-01,-0.031154693970979475,0.33004333796724983,1.4857463523126428,1.714067805920049,0.16080307913689995,0.183726489049149,0.0009003113478118774,0.27995780830875105,0.6813119544943056,1.5169010462836223,0.28085811965656293,0.031154693970979475,0.0,0.0,0.0,-0.07774585336183482,0.672606532119032,-0.10356441564914032,0.3248215638351373,0.6755374707595652,0.6721715352133015,-0.16629187842833648
2020-09-01,-0.16629187842833648,-0.13618353383893445,1.058007328837284,1.3013656020681066,0.118283000693286,0.22464415449941846,-0.1272705877402247,-0.02228373964614372,0.31487175805468937,1.2242992072656205,-0.14955432738636842,0.16629187842833648,0.0,0.0,0.0,-0.09379813378855617,0.672606532119032,-0.10356441564914032,0.3248215638351373,0.6755374707595652,0.6721715352133015,0.21348618439686629
2020-10-01,0.21348618439686629,-0.0198257074131033,0.8967117389694717,1.201076340482477,0.19250220561286932,0.21268583177098122,0.0666614040912401,0.08501147199424564,0.4876415972264019,0.6832255545726054,0.15167287608548574,-0.21348618439686629,0.0,0.0,0.0,-0.07856819418183791,0.672606532119032,-0.10356441564914032,0.3248215638351373,0.6755374707595652,0.6721715352133015,0.5426760765944854
2020-11-01,0.5426760765944854,0.5607150312409481,1.0758186297673715,2.861195942664925,0.3547846584849242,0.25116611769176145,0.37462860591573977,0.46238934918956787,1.0100882921629082,0.5331425531728862,0.8370179551053076,-0.5426760765944854,0.0,0.0,0.0,-0.04602305898434955,0.8911206199457329,-0.6639377680932999,2.1784013028639175,0.7142802794131502,0.5394392739526297,0.27995101620850105
2020-12-01,0.27995101620850105,1.3960889171655047,1.0697810610336003,3.6977789000528816,0.1740727895391504,0.25077885793341403,0.31134673845236094,0.6118847483612178,1.2013153638979217,0.7898300448250992,0.9232314868135787,-0.27995101620850105,0.0,0.0,0.0,-0.035697349836144365,0.8911206199457329,-0.6639377680932999,2.1784013028639175,0.7142802794131502,0.5394392739526297,-0.06731576031199149
2021-01-01,-0.06731576031199149,0.8416314900545179,0.8051198429699395,3.7049972258660633,0.30597078088228474,0.26549483935698587,0.030983674292392793,0.3522563834255039,0.8093574891410369,0.872435603281931,0.3832400577178967,0.06731576031199149,0.0,0.0,0.0,-0.038764469861045314,0.8911206199457329,-0.6639377680932999,2.1784013028639175,0.7142802794131502,0.5394392739526297,0.032888762113201686
2021-02-01,0.032888762113201686,0.2330524203307025,0.9244434467181593,3.7836782779116342,0.17873393530983656,0.25899743249128543,-0.00206008664333035,0.2562509283713226,0.6639015106168005,0.8915546846049576,0.2541908417279922,-0.032888762113201686,0.0,0.0,0.0,-0.037447134383348346,1.4597779096773142,-0.2142458740024331,0.5572565905047222,0.621317646128359,1.0893265838288104,-0.21780788810918683
